game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,playoff_bracket,playoff_round_name
201112105,2011,12,Village Park Recreational Club,10,86.58,0-23-0,10,Fencing Beats Football,5,108.78,23-0-0,6,2025-05-30T12:10:07.175815,False,,,
20111296,2011,12,Go Pack Go,9,124.7,0-23-0,4,Swagger Badgers,6,127.52,23-0-0,3,2025-05-30T12:10:07.176030,False,,,
20111287,2011,12,Free DOME,8,142.4,23-0-0,2,Big Bird's Barbarians,7,99.32,0-23-0,5,2025-05-30T12:10:07.176242,False,,,
20111331,2011,13,D Street Corsairs,3,74.0,0-25-0,8,The REVolution,1,105.28,25-0-0,7,2025-05-30T12:10:09.524116,False,,,
20111324,2011,13,Granger Danger,2,122.72,25-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-25-0,9,2025-05-30T12:10:09.524345,False,,,
201113105,2011,13,Village Park Recreational Club,10,86.58,0-25-0,10,Fencing Beats Football,5,108.78,25-0-0,6,2025-05-30T12:10:09.524559,False,,,
20111396,2011,13,Go Pack Go,9,124.7,0-25-0,4,Swagger Badgers,6,127.52,25-0-0,3,2025-05-30T12:10:09.524767,False,,,
20111387,2011,13,Free DOME,8,142.4,25-0-0,2,Big Bird's Barbarians,7,99.32,0-25-0,5,2025-05-30T12:10:09.524972,False,,,
20111431,2011,14,D Street Corsairs,3,74.0,0-27-0,8,The REVolution,1,105.28,27-0-0,7,2025-05-30T12:10:11.861632,False,,,
20111424,2011,14,Granger Danger,2,122.72,27-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-27-0,9,2025-05-30T12:10:11.861869,False,,,
201114105,2011,14,Village Park Recreational Club,10,86.58,0-27-0,10,Fencing Beats Football,5,108.78,27-0-0,6,2025-05-30T12:10:11.862084,False,,,
20111496,2011,14,Go Pack Go,9,124.7,0-27-0,4,Swagger Badgers,6,127.52,27-0-0,3,2025-05-30T12:10:11.862286,False,,,
20111487,2011,14,Free DOME,8,142.4,27-0-0,2,Big Bird's Barbarians,7,99.32,0-27-0,5,2025-05-30T12:10:11.862488,False,,,
20111531,2011,15,D Street Corsairs,3,74.0,0-29-0,8,The REVolution,1,105.28,29-0-0,7,2025-05-30T12:10:14.153850,True,consolation,consolation,Consolation
20111524,2011,15,Granger Danger,2,122.72,29-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-29-0,9,2025-05-30T12:10:14.154104,True,consolation,consolation,Consolation
201115105,2011,15,Village Park Recreational Club,10,86.58,0-29-0,10,Fencing Beats Football,5,108.78,29-0-0,6,2025-05-30T12:10:14.154322,True,consolation,consolation,Consolation
20111596,2011,15,Go Pack Go,9,124.7,0-29-0,4,Swagger Badgers,6,127.52,29-0-0,3,2025-05-30T12:10:14.154540,True,consolation,consolation,Consolation
20111587,2011,15,Free DOME,8,142.4,29-0-0,2,Big Bird's Barbarians,7,99.32,0-29-0,5,2025-05-30T12:10:14.154754,True,consolation,consolation,Consolation
20111631,2011,16,D Street Corsairs,3,74.0,0-31-0,8,The REVolution,1,105.28,31-0-0,7,2025-05-30T12:10:16.457560,True,consolation,consolation,Consolation
20111624,2011,16,Granger Danger,2,122.72,31-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-31-0,9,2025-05-30T12:10:16.457780,True,consolation,consolation,Consolation
201116105,2011,16,Village Park Recreational Club,10,86.58,0-31-0,10,Fencing Beats Football,5,108.78,31-0-0,6,2025-05-30T12:10:16.457983,True,consolation,consolation,Consolation
20111696,2011,16,Go Pack Go,9,124.7,0-31-0,4,Swagger Badgers,6,127.52,31-0-0,3,2025-05-30T12:10:16.458180,True,consolation,consolation,Consolation
20111687,2011,16,Free DOME,8,142.4,31-0-0,2,Big Bird's Barbarians,7,99.32,0-31-0,5,2025-05-30T12:10:16.458377,True,consolation,consolation,Consolation
20111731,2011,17,D Street Corsairs,3,74.0,0-33-0,8,The REVolution,1,105.28,33-0-0,7,2025-05-30T12:10:18.749941,False,,,
20111724,2011,17,Granger Danger,2,122.72,33-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-33-0,9,2025-05-30T12:10:18.750188,False,,,
201117105,2011,17,Village Park Recreational Club,10,86.58,0-33-0,10,Fencing Beats Football,5,108.78,33-0-0,6,2025-05-30T12:10:18.750411,False,,,
20111796,2011,17,Go Pack Go,9,124.7,0-33-0,4,Swagger Badgers,6,127.52,33-0-0,3,2025-05-30T12:10:18.750611,False,,,
20111787,2011,17,Free DOME,8,142.4,33-0-0,2,Big Bird's Barbarians,7,99.32,0-33-0,5,2025-05-30T12:10:18.750814,False,,,
