game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_simulated,simulation_type,is_playoff,playoff_round,bracket,playoff_round_name
201111510,2011,11,Fencing Beats Football,5,113.5,8-3-0,2,Village Park Recreational Club,10,78.04,6-5-0,5,2025-06-21T19:02:00.589Z,False,,False,,,
20111169,2011,11,Swagger Badgers,6,112.26,7-4-0,3,Go Pack Go,9,95.28,5-6-0,7,2025-06-21T19:02:00.589Z,False,,False,,,
20111178,2011,11,Big Bird's Barbarians,7,81.6,5-6-0,6,Free DOME,8,60.5,4-7-0,8,2025-06-21T19:02:00.589Z,False,,False,,,
20111241,2011,12,HOLDEN CAUFIELDS,4,75.02,1-11-0,10,The REVolution,1,110.52,8-4-0,3,2025-06-21T19:02:13.804Z,False,,False,,,
20111235,2011,12,D Street Corsairs,3,123.62,4-8-0,8,Fencing Beats Football,5,71.22,8-4-0,2,2025-06-21T19:02:13.804Z,False,,False,,,
20111226,2011,12,Granger Danger,2,151.44,10-2-0,1,Swagger Badgers,6,86.28,7-5-0,4,2025-06-21T19:02:13.804Z,False,,False,,,
201112107,2011,12,Village Park Recreational Club,10,88.68,7-5-0,5,Big Bird's Barbarians,7,86.72,5-7-0,7,2025-06-21T19:02:13.804Z,False,,False,,,
20111298,2011,12,Go Pack Go,9,86.34,6-6-0,6,Free DOME,8,45.9,4-8-0,9,2025-06-21T19:02:13.804Z,False,,False,,,
20111315,2011,13,The REVolution,1,85.28,8-5-0,4,Fencing Beats Football,5,131.76,9-4-0,2,2025-06-21T19:02:27.125Z,False,,False,,,
20111364,2011,13,Swagger Badgers,6,97.96,8-5-0,3,HOLDEN CAUFIELDS,4,83.54,1-12-0,10,2025-06-21T19:02:27.125Z,False,,False,,,
20111373,2011,13,Big Bird's Barbarians,7,100.86,5-8-0,7,D Street Corsairs,3,118.08,5-8-0,8,2025-06-21T19:02:27.125Z,False,,False,,,
20111382,2011,13,Free DOME,8,57.6,4-9-0,9,Granger Danger,2,118.06,11-2-0,1,2025-06-21T19:02:27.125Z,False,,False,,,
201113910,2011,13,Go Pack Go,9,123.96,7-6-0,5,Village Park Recreational Club,10,60.98,7-6-0,6,2025-06-21T19:02:27.125Z,False,,False,,,
20111461,2011,14,Swagger Badgers,6,93.44,8-6-0,4,The REVolution,1,98.42,9-5-0,3,2025-06-21T19:02:40.324Z,False,,False,,,
20111457,2011,14,Fencing Beats Football,5,90.04,9-5-0,2,Big Bird's Barbarians,7,107.3,6-8-0,7,2025-06-21T19:02:40.324Z,False,,False,,,
20111448,2011,14,HOLDEN CAUFIELDS,4,104.7,2-12-0,10,Free DOME,8,80.5,4-10-0,9,2025-06-21T19:02:40.324Z,False,,False,,,
20111439,2011,14,D Street Corsairs,3,90.78,5-9-0,8,Go Pack Go,9,132.44,8-6-0,5,2025-06-21T19:02:40.324Z,False,,False,,,
201114210,2011,14,Granger Danger,2,123.38,11-3-0,1,Village Park Recreational Club,10,133.4,8-6-0,6,2025-06-21T19:02:40.324Z,False,,False,,,
20111531,2011,15,D Street Corsairs,3,74.0,1-1-0,8,The REVolution,1,105.28,1-1-0,7,2025-05-30T12:10:14.153850,False,,False,,,
20111524,2011,15,Granger Danger,2,122.72,2-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-2-0,9,2025-05-30T12:10:14.154104,False,,False,,,
201115105,2011,15,Village Park Recreational Club,10,86.58,0-2-0,10,Fencing Beats Football,5,108.78,1-1-0,6,2025-05-30T12:10:14.154322,False,,False,,,
20111596,2011,15,Go Pack Go,9,124.7,1-1-0,4,Swagger Badgers,6,127.52,1-1-0,3,2025-05-30T12:10:14.154540,False,,False,,,
20111587,2011,15,Free DOME,8,142.4,2-0-0,2,Big Bird's Barbarians,7,99.32,1-1-0,5,2025-05-30T12:10:14.154754,False,,False,,,
20111601,2011,16,D Street Corsairs,3,109.88,5-9-0,8,Big Bird's Barbarians,7,91.66,6-8-0,7,2025-06-21T20:00:00.000000,False,,True,toilet_bowl,consolation,Toilet Bowl
20111602,2011,16,Go Pack Go,9,86.7,8-6-0,5,Village Park Recreational Club,10,113.92,8-6-0,6,2025-06-21T20:00:00.000000,False,,True,toilet_bowl,consolation,Toilet Bowl
20111603,2011,16,Granger Danger,2,124.06,11-3-0,1,Fencing Beats Football,5,102.34,9-5-0,2,2025-06-21T20:00:00.000000,False,,True,championship,winners,Championship
20111604,2011,16,Swagger Badgers,6,111.42,8-6-0,4,The REVolution,1,77.9,9-5-0,3,2025-06-21T20:00:00.000000,False,,True,third_place,winners,Third Place
20111601,2011,16,D Street Corsairs,3,109.88,0-0-0,0,Big Bird's Barbarians,7,91.66,0-0-0,0,1750552660,True,toilet_bowl,True,toilet_bowl,consolation,Toilet Bowl
