home_rank,is_simulated,home_team_id,simulation_type,away_team_id,game_id,away_rank,away_record,week,home_points,season,home_record,away_points,scraped_at,home_team,away_team
1,,12,,10,2019121210,9,4-8-0,12,114.8,2019,10-2-0,73.92,2025-06-30T23:13:19.951Z,Fast Times at Ridley High,MaHomes Depot
5,,4,,8,20191248,12,1-10-1,12,77.54,2019,7-4-1,77.54,2025-06-30T23:13:19.951Z,Christian Mingle,Breezin
3,,9,,7,20191297,8,4-8-0,12,102.08,2019,8-4-0,83.32,2025-06-30T23:13:19.951Z,Avengers Engram,Zach and the Fucked by JuJu
6,,6,,1,20191361,7,6-7-0,13,85.42,2019,7-6-0,103.72,2025-06-30T23:13:33.048Z,Free Melvy,Califournettecation
10,,3,,2,20191332,3,9-4-0,13,57.66,2019,4-9-0,86.44,2025-06-30T23:13:33.048Z,Macker Barrel Ol Country Store,Taupe Blougholes
2,,12,,5,201913125,1,11-2-0,13,76.54,2019,10-3-0,95.12,2025-06-30T23:13:33.048Z,Fast Times at Ridley High,Jacobs' Ladder
11,,11,,10,2019131110,9,5-8-0,13,102.5,2019,3-10-0,105.3,2025-06-30T23:13:33.048Z,Sasquontch,MaHomes Depot
5,,9,,4,20191394,4,8-4-1,13,62.44,2019,8-5-0,92.38,2025-06-30T23:13:33.048Z,Avengers Engram,Christian Mingle
12,,8,,7,20191387,8,5-8-0,13,91.56,2019,1-11-1,106.56,2025-06-30T23:13:33.048Z,Breezin,Zach and the Fucked by JuJu
10,,3,,11,201914311,11,3-10-0,14,92.48,2019,4-9-0,98.1,2025-06-30T23:13:46.291Z,Macker Barrel Ol Country Store,Sasquontch
9,,10,,8,201914108,12,1-11-1,14,75.32,2019,5-8-0,122.36,2025-06-30T23:13:46.291Z,MaHomes Depot,Breezin
4,,4,,9,20191449,5,8-5-0,14,88.22,2019,8-4-1,68.56,2025-06-30T23:13:46.291Z,Christian Mingle,Avengers Engram
3,,2,,6,20191426,6,7-6-0,14,91.64,2019,9-4-0,85.24,2025-06-30T23:13:46.292Z,Taupe Blougholes,Free Melvy
7,,1,,7,20191517,8,5-8-0,15,111.22,2019,6-7-0,105.52,2025-07-01T00:14:13.221Z,Califournettecation,Zach and the Fucked by JuJu
9,,10,,3,201915103,10,4-9-0,15,92.1,2019,5-8-0,81.74,2025-07-01T00:14:13.221Z,MaHomes Depot,Macker Barrel Ol Country Store
1,,5,,4,20191554,4,8-4-1,15,117.88,2019,11-2-0,112.2,2025-07-01T00:14:13.221Z,Jacobs' Ladder,Christian Mingle
3,,2,,12,201915212,2,10-3-0,15,63.68,2019,9-4-0,112.74,2025-07-01T00:14:13.221Z,Taupe Blougholes,Fast Times at Ridley High
7,,1,,7,20191617,8,5-8-0,16,83.3,2019,6-7-0,118.06,2025-06-30T23:15:06.341Z,Califournettecation,Zach and the Fucked by JuJu
11,,11,,8,201916118,12,1-11-1,16,91.36,2019,3-10-0,52.5,2025-06-30T23:15:06.341Z,Sasquontch,Breezin
9,,10,,3,201916103,10,4-9-0,16,110.34,2019,5-8-0,67.54,2025-06-30T23:15:06.341Z,MaHomes Depot,Macker Barrel Ol Country Store
1,,5,,12,201916512,2,10-3-0,16,102.62,2019,11-2-0,84.56,2025-06-30T23:15:06.341Z,Jacobs' Ladder,Fast Times at Ridley High
4,,4,,2,20191642,3,9-4-0,16,75.12,2019,8-4-1,69.66,2025-06-30T23:15:06.341Z,Christian Mingle,Taupe Blougholes
5,,9,,6,20191696,6,7-6-0,16,89.38,2019,8-5-0,119.18,2025-06-30T23:15:06.341Z,Avengers Engram,Free Melvy
0,True,10,toilet_bowl_round1,8,201914108_toilet_round1,0,0-0-0,14,75.32000000000001,2019,0-0-0,122.36000000000001,1751333869,MaHomes Depot,Breezin
0,True,3,toilet_bowl_round1,11,201914311_toilet_round1,0,0-0-0,14,92.48000000000002,2019,0-0-0,98.1,1751333883,Macker Barrel Ol Country Store,Sasquontch
0,True,8,toilet_bowl_winners,11,201915811_toilet_winners,0,0-0-0,15,99.67999999999999,2019,0-0-0,124.43999999999997,1751333883,Breezin,Sasquontch
0,True,10,toilet_bowl_losers,3,201915103_toilet_losers,0,0-0-0,15,92.1,2019,0-0-0,81.74,1751333883,MaHomes Depot,Macker Barrel Ol Country Store
0,True,11,toilet_bowl_championship,8,201916118_toilet_champ,0,0-0-0,16,121.52,2019,0-0-0,52.5,1751333883,Sasquontch,Breezin
0,True,10,toilet_bowl_third_place,3,201916103_toilet_third,0,0-0-0,16,110.33999999999999,2019,0-0-0,67.53999999999999,1751333883,MaHomes Depot,Macker Barrel Ol Country Store
