game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,bracket,playoff_round_name
20191262,2019,12,Free Melvy,6,114.66,7-5-0,6,Taupe Blougholes,2,135.7,8-4-0,4,2025-06-30T23:13:19.951Z,False,,,
201912511,2019,12,Jacobs' Ladder,5,86.96,10-2-0,2,Sasquontch,11,65.58,3-9-0,11,2025-06-30T23:13:19.951Z,False,,,
2019121210,2019,12,Fast Times at Ridley High,12,114.8,10-2-0,1,MaHomes Depot,10,73.92,4-8-0,9,2025-06-30T23:13:19.951Z,False,,,
20191248,2019,12,Christian Mingle,4,77.54,7-4-1,5,Breezin,8,77.54,1-10-1,12,2025-06-30T23:13:19.951Z,False,,,
20191297,2019,12,Avengers Engram,9,102.08,8-4-0,3,Zach and the Fucked by JuJu,7,83.32,4-8-0,8,2025-06-30T23:13:19.951Z,False,,,
20191361,2019,13,Free Melvy,6,85.42,7-6-0,6,Califournettecation,1,103.72,6-7-0,7,2025-06-30T23:13:33.048Z,False,,,
20191332,2019,13,Macker Barrel Ol Country Store,3,57.66,4-9-0,10,Taupe Blougholes,2,86.44,9-4-0,3,2025-06-30T23:13:33.048Z,False,,,
201913125,2019,13,Fast Times at Ridley High,12,76.54,10-3-0,2,Jacobs' Ladder,5,95.12,11-2-0,1,2025-06-30T23:13:33.048Z,False,,,
2019131110,2019,13,Sasquontch,11,102.5,3-10-0,11,MaHomes Depot,10,105.3,5-8-0,9,2025-06-30T23:13:33.048Z,False,,,
20191394,2019,13,Avengers Engram,9,62.44,8-5-0,5,Christian Mingle,4,92.38,8-4-1,4,2025-06-30T23:13:33.048Z,False,,,
20191387,2019,13,Breezin,8,91.56,1-11-1,12,Zach and the Fucked by JuJu,7,106.56,5-8-0,8,2025-06-30T23:13:33.048Z,False,,,
201914311,2019,14,Macker Barrel Ol Country Store,3,92.48,4-9-0,10,Sasquontch,11,98.1,3-10-0,11,2025-06-30T23:13:46.291Z,True,consolation_round_1,consolation,Consolation Round 1
201914108,2019,14,MaHomes Depot,10,75.32,5-8-0,9,Breezin,8,122.36,1-11-1,12,2025-06-30T23:13:46.291Z,True,consolation_round_1,consolation,Consolation Round 1
20191449,2019,14,Christian Mingle,4,88.22,8-4-1,4,Avengers Engram,9,68.56,8-5-0,5,2025-06-30T23:13:46.291Z,True,winners_round_1,winners,Winners Round 1
20191426,2019,14,Taupe Blougholes,2,91.64,9-4-0,3,Free Melvy,6,85.24,7-6-0,6,2025-06-30T23:13:46.292Z,True,winners_round_1,winners,Winners Round 1
20191517,2019,15,Califournettecation,1,111.22,6-7-0,7,Zach and the Fucked by JuJu,7,105.52,5-8-0,8,2025-07-01T00:14:13.221Z,True,toilet_bowl,consolation,Toilet Bowl
201915103,2019,15,MaHomes Depot,10,92.1,5-8-0,9,Macker Barrel Ol Country Store,3,81.74,4-9-0,10,2025-07-01T00:14:13.221Z,True,toilet_bowl,consolation,Toilet Bowl
20191554,2019,15,Jacobs' Ladder,5,117.88,11-2-0,1,Christian Mingle,4,112.2,8-4-1,4,2025-07-01T00:14:13.221Z,True,third_place,winners,Third Place
201915212,2019,15,Taupe Blougholes,2,63.68,9-4-0,3,Fast Times at Ridley High,12,112.74,10-3-0,2,2025-07-01T00:14:13.221Z,True,third_place,winners,Third Place
20191617,2019,16,Califournettecation,1,83.3,6-7-0,7,Zach and the Fucked by JuJu,7,118.06,5-8-0,8,2025-06-30T23:15:06.341Z,True,toilet_bowl,consolation,Toilet Bowl
201916118,2019,16,Sasquontch,11,91.36,3-10-0,11,Breezin,8,52.5,1-11-1,12,2025-06-30T23:15:06.341Z,True,toilet_bowl,consolation,Toilet Bowl
201916103,2019,16,MaHomes Depot,10,110.34,5-8-0,9,Macker Barrel Ol Country Store,3,67.54,4-9-0,10,2025-06-30T23:15:06.341Z,True,toilet_bowl,consolation,Toilet Bowl
201916512,2019,16,Jacobs' Ladder,5,102.62,11-2-0,1,Fast Times at Ridley High,12,84.56,10-3-0,2,2025-06-30T23:15:06.341Z,True,championship,winners,Championship
20191642,2019,16,Christian Mingle,4,75.12,8-4-1,4,Taupe Blougholes,2,69.66,9-4-0,3,2025-06-30T23:15:06.341Z,True,third_place,winners,Third Place
20191696,2019,16,Avengers Engram,9,89.38,8-5-0,5,Free Melvy,6,119.18,7-6-0,6,2025-06-30T23:15:06.341Z,False,,,
