year,nomination,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2022,154,2568048,Garrett Wilson,WR,NYJ,10,Tom and Terry,Cole,1.0,auction,2025-07-01T16:39:38.181743
2022,155,2566376,Kadarius Toney,WR,KC,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:38.181945
2022,156,2540169,Robert Woods,WR,HOU,12,Mad Mixon,James,8.0,auction,2025-07-01T16:39:38.182145
2022,157,2567883,Zamir White,RB,LV,1,The Wrath of Quon,Matt,,auction,2025-07-01T16:39:39.551169
2022,158,100003,Buffalo Bills,,,2,Chubbinator 2 Judgment Day,Ryan,,auction,2025-07-01T16:39:39.551386
2022,159,2560994,Mike Gesicki,TE,NE,3,Lazy Lazard Saloon,Cameron,4.0,auction,2025-07-01T16:39:39.551540
2022,160,2560742,Nyheim Hines,RB,BUF,4,Super Lamario Sunshine,Craig,,auction,2025-07-01T16:39:39.551687
2022,161,2567715,Alec Pierce,WR,IND,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:39.551832
2022,162,2568348,Brian Robinson,RB,WAS,6,Koo D'etat,Alexander,,auction,2025-07-01T16:39:39.551976
2022,163,2567508,Jalen Tolbert,WR,DAL,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:39.552124
2022,164,2567565,Jameson Williams,WR,DET,8,Bot boy,Nick,,auction,2025-07-01T16:39:39.552265
2022,165,2566532,Trey Lance,QB,SF,9,Magnum TI,Kyle,9.0,auction,2025-07-01T16:39:39.552419
2022,166,2566442,Pat Freiermuth,TE,PIT,10,Tom and Terry,Cole,2.0,auction,2025-07-01T16:39:39.552578
2022,167,2567328,James Cook,RB,BUF,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:39.552739
2022,168,2563911,Albert Okwuegbunam,TE,DEN,12,Mad Mixon,James,,auction,2025-07-01T16:39:39.552901
2022,169,2566433,Rondale Moore,WR,ARI,1,The Wrath of Quon,Matt,,auction,2025-07-01T16:39:40.798858
2022,170,2567805,Skyy Moore,WR,KC,2,Chubbinator 2 Judgment Day,Ryan,,auction,2025-07-01T16:39:40.799042
2022,171,2560770,Ronald Jones,RB,DAL,3,Lazy Lazard Saloon,Cameron,5.0,auction,2025-07-01T16:39:40.799226
2022,172,2567586,Romeo Doubs,WR,GB,4,Super Lamario Sunshine,Craig,,auction,2025-07-01T16:39:40.799391
2022,173,2566127,Nico Collins,WR,HOU,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:40.799548
2022,174,2566502,Josh Palmer,WR,LAC,6,Koo D'etat,Alexander,,auction,2025-07-01T16:39:40.799707
2022,175,2564889,Eno Benjamin,RB,NO,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:40.799865
2022,176,2555364,Tyler Higbee,TE,LA,8,Bot boy,Nick,,auction,2025-07-01T16:39:40.800022
2022,177,2568315,Rachaad White,RB,TB,9,Magnum TI,Kyle,,auction,2025-07-01T16:39:40.800179
2022,178,2532820,Kirk Cousins,QB,MIN,10,Tom and Terry,Cole,6.0,auction,2025-07-01T16:39:40.800335
2022,179,2568189,Isaiah Spiller,RB,LAC,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:40.800489
2022,180,2495466,Mark Ingram,RB,NO,12,Mad Mixon,James,,auction,2025-07-01T16:39:40.800655
2022,181,2568207,Tyrion Davis-Price,RB,SF,1,The Wrath of Quon,Matt,,auction,2025-07-01T16:39:42.123373
2022,182,2561061,Russell Gage,WR,TB,2,Chubbinator 2 Judgment Day,Ryan,,auction,2025-07-01T16:39:42.123593
2022,183,2558266,George Kittle,TE,SF,3,Lazy Lazard Saloon,Cameron,16.0,auction,2025-07-01T16:39:42.123794
2022,184,2558204,Jamaal Williams,RB,NO,4,Super Lamario Sunshine,Craig,,auction,2025-07-01T16:39:42.123990
2022,185,2552033,Jameis Winston,QB,NO,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:42.124201
2022,186,2558123,Marlon Mack,RB,DEN,6,Koo D'etat,Alexander,,auction,2025-07-01T16:39:42.124405
2022,187,2568012,Wan'Dale Robinson,WR,NYG,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:42.124616
2022,188,2565899,Chuba Hubbard,RB,CAR,8,Bot boy,Nick,,auction,2025-07-01T16:39:42.124813
2022,189,2565926,Khalil Herbert,RB,CHI,9,Magnum TI,Kyle,,auction,2025-07-01T16:39:42.125011
2022,190,2564223,James Robinson,RB,NE,10,Tom and Terry,Cole,7.0,auction,2025-07-01T16:39:42.125210
2022,191,2566397,Kenneth Gainwell,RB,PHI,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:42.125401
2022,192,2562682,Alexander Mattison,RB,MIN,12,Mad Mixon,James,4.0,auction,2025-07-01T16:39:42.125594
